sample_id,n_Na,r_TM,phi_TM,I_TM,S_TM,phi_cation,Phase_EXP,Phase_DNN,Group,Source
6,0.78,54.816,58.91796552,56.52357,1.011634814,15.76922064,0,0,Test,Literature
7,0.615,57.42145179,60.8746903,72.1663104,0.875179026,12.84635046,0,0,Test,Literature
8,0.78,55,58.93496143,57.7185,0.594059413,15.77376955,0,0,Test,Literature
9,0.67,55.23,60.63362973,59.9336,0.592953317,13.93979077,0,0,Test,Literature
10,0.667,57.685,59.76673646,60.283095,0.818808456,13.67896572,0,0,Test,Literature
11,0.667,59.635,59.34721026,61.18359,0.610864302,13.58294768,0,0,Test,Literature
12,0.75,57.65,59.27745315,67.09101455,0.818808456,15.25522736,0,0,Test,Literature
13,0.6,56.675,63.06075362,69.72351455,0.818808456,12.98309671,0,0,Test,Literature
14,0.6,59.8,59.66210384,68.47472,0.950270539,12.28337468,0,0,Test,Literature
15,0.667,53,62.86792453,60.31753,0.152207123,14.38874256,0,0,Test,Literature
16,0.62,61.71809524,60.30430539,71.6017792,0.998028701,12.82944574,0,0,Test,Literature
17,0.6,56.07,62.96709398,68.04031067,0.892702433,12.96381384,0,0,Test,Literature
18,0.6,58.7,61.16352201,74.73008,0.610864302,12.59249019,0,0,Test,Literature
19,0.6,57.05,61.4704356,67.76654,0.818808456,12.65567829,0,0,Test,Literature
20,0.75,59.3,58.97053956,74.05455455,0.818808456,15.17624224,0,0,Test,Literature
21,0.67,58.11,61.52518577,72.90862134,0.526907961,14.14476126,0,0,Test,Literature
22,0.67,56.295,60.0560843,60.146955,0.971991253,13.80701194,0,0,Test,Literature
23,0.667,55.43406593,60.47578398,58.8868,0.86789214,13.84124724,0,0,Test,Literature
24,0.667,55.98351648,60.06943004,59.470936,1.050293502,13.74824397,0,0,Test,Literature
25,0.75,57.754,57.00589178,56.70836,1.011634814,14.67063434,0,0,Test,Literature
26,0.667,58.15165165,57.15119525,68.471457,1.098513176,13.08034012,0,0,Test,Literature
27,0.778,55.669,58.15983715,57.69684,0.848242087,15.52639619,0,0,Test,Literature
28,0.7,57.05040713,59.84169689,65.1421913,1.166504199,14.37374134,0,0,Test,Literature
29,0.67,56.43,61.13106041,66.1121097,1.046719671,14.05415106,0,0,Test,Literature
30,0.67,55.55,60.31343268,59.565,0.801818553,13.86617684,0,0,Test,Literature
31,0.67,55.2,60.64560604,59.571,1.088899975,13.94254415,0,0,Test,Literature
32,0.75,58.3,59.13761108,67.39117955,0.914285581,15.21923859,0,0,Test,Literature
33,0.75,56.15,58.21521517,57.623,0.610864302,14.98185728,0,0,Test,Literature
34,0.67,55.8,60.07773522,58.583,0.63903186,13.81198953,0,0,Test,Literature
35,0.67,56.14,60.22900933,59.976465,0.95702881,13.84676774,0,0,Test,Literature
36,0.67,56.24,60.06813417,61.75148,0.774536973,13.80978223,0,0,Test,Literature
37,1,60.575,50.32013656,59.0437456,2.151961429,17.26671403,1,1,Test,Literature
38,1,58.2,51.8361265,52.091434,1.557113098,17.78690667,1,1,Test,Literature
39,0.8,56.8,56.20051902,62.3218,1.609437912,15.4275939,1,1,Test,Literature
40,1,56,53.5966189,53.9875,1.039720771,18.39099721,1,1,Test,Literature
41,0.55,57,62.62618791,70.2759597,1.392321255,11.81915835,1,0,Test,Literature
